provincia_id,provincia_nombre,localidad_nombre,juzgado_numero,causa_id,causa_objeto_litigio_descripcion,causa_fecha_recepcion,causa_fecha_ingreso,audiencia_preliminar_fecha,audiencia_preliminar_resultado,apertura_prueba_fecha,audiencia_vista_causa_fecha,audiencia_vista_causa_resultado,llamamiento_autos_fecha,proceso_finalización_fecha,proceso_resultado_descripcion,clase_proceso_descripcion
90,Tucumán,Concepcion,Civil y Com 3,376/18,ACCIONES POSESORIAS,2018-07-24,2018-07-24,2019-08-15,No Conciliada,2019-08-07,, ,,, ,
90,Tucumán,Concepcion,Civil y Com 3,257/18,DAÑOS Y PERJUICIOS,2018-05-21,2018-05-21,2019-08-20,No Conciliada,2019-07-30,, ,,, ,
90,Tucumán,Concepcion,Doc y Loc 3,958/17,DAÑOS Y PERJUICIOS,2017-12-04,2017-12-04,2019-04-16,No Conciliada,,, ,,, ,
90,Tucumán,Capital,Civil y Com 6,2729/14,DAÑOS Y PERJUICIOS,2015-12-18,2015-12-18,2019-07-31,,,,,,,,
90,Tucumán,Capital,Doc y Loc 4,2171/13,ESPECIALES (RESIDUAL),2013-08-08,2013-08-08,2018-11-08,No Conciliada,2018-11-01,,,,,,
90,Tucumán,Capital,Doc y Loc 4,402/17,COBRO DE ALQUILERES / ARRIENDO (ORDINARIO),2017-11-09,2017-11-09,2018-11-27,No Conciliada,2018-11-22,2019-02-13,No Conciliada,,,,
90,Tucumán,Capital,Doc y Loc 4,3641/16,CUMPLIMIENTO DE CONTRATO,2017-12-05,2017-12-05,2018-12-06,No Conciliada,2018-11-20,,,,,,
90,Tucumán,Capital,Doc y Loc 4,8615/16,DAÑOS Y PERJUICIOS,2017-08-01,2017-08-01,2018-12-19,Conciliada,2018-11-26,,,,2018-12-19,HOMOLOGACION DE CONVENIO,
90,Tucumán,Capital,Doc y Loc 3,5878/14,DAÑOS Y PERJUICIOS,2015-12-29,2015-12-29,2018-12-27,No Conciliada,,2019-02-20,No Conciliada,,2016-12-26,CADUCIDAD DE INSTANCIA,
90,Tucumán,Capital,Doc y Loc 9,4052/16,ESPECIALES (RESIDUAL),2017-02-14,2017-02-14,2019-02-06,No Conciliada,2018-12-10,,,,,,
90,Tucumán,Capital,Doc y Loc 9,7479/14,ESPECIALES (RESIDUAL),2015-04-09,2015-04-09,2019-02-20,No Conciliada,2018-12-18,,,,2017-08-23,FONDO,
90,Tucumán,Capital,Doc y Loc 9,9193/18,DAÑOS Y PERJUICIOS,2018-10-24,2018-10-24,2019-04-11,No Conciliada,2019-03-26,,,,,,
90,Tucumán,Capital,Doc y Loc 7,6473/15,ESPECIALES (RESIDUAL),2015-11-12,2015-11-12,2018-12-11,No Conciliada,2018-12-11,,,,,,
90,Tucumán,Capital,Doc y Loc 2,6779/17,DAÑOS Y PERJUICIOS,2019-02-01,2019-02-01,2019-06-07,Conciliada,2019-04-16,,,,2019-06-07,HOMOLOGACION DE CONVENIO,
