provincia_id,provincia_nombre,localidad_nombre,juzgado_nombre,juzgado_numero,juzgado_tipo,causa_id,causa_objeto_litigio_descripcion,causa_fecha_recepcion,causa_fecha_ingreso,audiencia_preliminar_fecha,audiencia_preliminar_resultado,apertura_prueba_fecha,audiencia_vista_causa_fecha,audiencia_vista_causa_resultado,llamamiento_autos_fecha,proceso_finalizacion_fecha,proceso_resultado_descripcion,clase_proceso_descripcion
82,Santa Fe,ROSARIO,JUZG. DE 1RA.INSTANCIA DE CIRCUITO N°1,1,Circuito,21-12615516-3,DAÑOS Y PERJUICIOS,2018-02-20 00:00:00,2018-02-21 00:00:00,,,,,,,,,
82,Santa Fe,ROSARIO,Juzg. 1ra. Inst. Civil y Comercial 2da. Nom.,2,Distrito,21-02895034-6,ESCRITURACION,2018-03-09 00:00:00,2018-03-12 00:00:00,,,,,,,,,
82,Santa Fe,ROSARIO,Juzg. 1ra. Inst. Civil y Comercial 7ma. Nom.,7,Distrito,21-02895233-0,DAÑOS Y PERJUICIOS,2018-03-14 00:00:00,2018-03-15 00:00:00,2019-10-02 00:00:00,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2019-08-29 00:00:00,2020-02-17 00:00:00,,,,,
82,Santa Fe,ROSARIO,JUZG. DE 1RA.INSTANCIA DE CIRCUITO N°2,2,Circuito,21-12617028-6,DESALOJO,2018-05-18 00:00:00,2018-05-21 00:00:00,2018-12-27 00:00:00,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-11-27 00:00:00,2019-04-03 00:00:00,,,2019-06-05 00:00:00,SENTENCIA Y AUTOS DEFINITIVOS,
82,Santa Fe,ROSARIO,Juzg. 1ra. Inst. Civil y Comercial 15ta. Nom.,15,Distrito,21-02898628-6,OTRAS DILIGENCIAS,2018-05-29 00:00:00,2018-05-30 00:00:00,,,,,,,,,
82,Santa Fe,ROSARIO,JUZG. DE 1RA.INSTANCIA DE CIRCUITO N°2,2,Circuito,21-12617698-5,DAÑOS Y PERJUICIOS,2018-06-05 00:00:00,2018-06-06 00:00:00,2018-09-18 00:00:00,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-08-27 00:00:00,,RESULTADO AUD. PROD. PRUEBAS - NO CONCILIÓ,,2019-02-04 00:00:00,SENTENCIAS Y AUTOS HOMOLOGATORIOS,
82,Santa Fe,ROSARIO,JUZG. DE 1RA.INSTANCIA DE CIRCUITO N°2,2,Circuito,21-12617986-0,DESALOJO,2018-06-12 00:00:00,2018-06-13 00:00:00,,,,,,,,,
82,Santa Fe,ROSARIO,JUZG. DE 1RA.INSTANCIA DE CIRCUITO N°5,5,Circuito,21-12618098-2,DESALOJO,2018-06-14 00:00:00,2018-06-15 00:00:00,,,,,,,,,
82,Santa Fe,ROSARIO,Juzg. 1ra. Inst. Civil y Comercial 18va. Nom.,18,Distrito,21-01656733-4,JUICIOS ORDINARIOS,2010-04-12 00:00:00,2010-04-13 00:00:00,2018-08-30 00:00:00,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-06-18 00:00:00,,RESULTADO AUD. PROD. PRUEBAS - CONCILIÓ EN AUDIENCIA,,2019-02-06 00:00:00,SENTENCIAS Y AUTOS HOMOLOGATORIOS,
82,Santa Fe,ROSARIO,Juzg. 1ra. Inst. Civil y Comercial 16ta. Nom.,16,Distrito,21-01618741-8,JUICIOS ORDINARIOS,2010-09-17 00:00:00,2010-09-20 00:00:00,2018-05-15 00:00:00,RESULTADO AUD. PROV. PRUEBAS - NO CONCILIÓ,2018-06-18 00:00:00,,RESULTADO AUD. PROD. PRUEBAS - NO CONCILIÓ,2019-04-25 00:00:00,2019-05-06 00:00:00,SENTENCIA Y AUTOS DEFINITIVOS,
