provincia_id,provincia_nombre,localidad_nombre,juzgado_numero,causa_id,causa_objeto_litigio_descripcion,causa_fecha_recepcion,causa_fecha_ingreso,audiencia_preliminar_fecha,audiencia_preliminar_resultado,apertura_prueba_fecha,audiencia_vista_causa_fecha,audiencia_vista_causa_resultado,llamamiento_autos_fecha,proceso_finalización_fecha,proceso_resultado_descripcion,clase_proceso_descripcion
86,Santiago del Estero,CAPITAL,C6,646277,ACCIONES POSESORIAS,2018-10-09,2018-10-09,2019-05-14,Audiencia Preliminar NO CONCILIADA,,2019-06-06,Audiencia Vista Causa CONCILIADA,,2019-08-26,SENTENCIA,
86,Santiago del Estero,CAPITAL,C6,646336,DAÑOS Y PERJUICIOS,2018-10-09,2018-10-09,2019-07-03,Audiencia Preliminar NO CONCILIADA,,,,,,,
86,Santiago del Estero,CAPITAL,C6,647202,DESALOJO,2018-10-22,2019-04-16,,,,,,,,,
86,Santiago del Estero,CAPITAL,C6,648622,PRESCRIPCION ADQUISITIVA,2018-11-05,2018-11-05,,,,,,,,,
86,Santiago del Estero,CAPITAL,C6,648625,DAÑOS Y PERJUICIOS,2018-11-05,2018-11-05,2019-09-24,,,2019-12-12,,,,,
86,Santiago del Estero,CAPITAL,C6,648628,DAÑOS Y PERJUICIOS,2018-11-05,2018-11-05,,,,,,,,,
86,Santiago del Estero,CAPITAL,C6,648686,COBRO DE PESOS-SUMARIO,2018-11-06,2019-04-09,,,,,,,,,
86,Santiago del Estero,CAPITAL,C6,648709,DAÑOS Y PERJUICIOS,2018-11-06,2018-11-06,,,,,,,,,
86,Santiago del Estero,CAPITAL,C6,648796,SUCESION AB-INTESTATO,2018-11-08,2018-11-08,,,,,,,,,
86,Santiago del Estero,CAPITAL,C6,648810,DAÑOS Y PERJUICIOS,2018-11-08,2018-11-08,,,,,,,,,
86,Santiago del Estero,CAPITAL,C6,648942,DAÑOS Y PERJUICIOS,2018-11-09,2018-11-09,,,,,,,,,
86,Santiago del Estero,CAPITAL,C6,648950,DAÑOS Y PERJUICIOS,2018-11-09,2018-11-09,,,,,,,,,
86,Santiago del Estero,CAPITAL,C6,648956,PRESCRIPCION ADQUISITIVA,2018-11-09,2018-11-09,,,,,,,,,
86,Santiago del Estero,CAPITAL,C6,648959,DAÑOS Y PERJUICIOS,2018-11-09,2018-11-09,,,,,,,,,
86,Santiago del Estero,CAPITAL,C6,649050,INTERDICTO PARA RETENER/RECOBRAR LA POSESION,2018-11-13,2018-11-13,2019-09-12,,,,,,,,
86,Santiago del Estero,CAPITAL,C6,649073,PRESCRIPCION ADQUISITIVA,2018-11-13,2018-11-13,,,,,,,,,
86,Santiago del Estero,CAPITAL,C6,649074,ESCRITURACION - ABRVIADOS,2018-11-13,2018-11-13,2019-04-16,Audiencia Preliminar CONCILIADA,,,,,2019-04-16,HOMOLOGACION,
86,Santiago del Estero,CAPITAL,C6,649110,COBRO DE PESOS,2018-11-13,2018-11-13,,,,,,,,,
